Hora: 10:00, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 10:05, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 10:10, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 10:15, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 10:20, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 10:25, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 10:30, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 10:35, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 10:40, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 10:45, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 10:50, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 10:55, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 11:00, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 11:05, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 11:10, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 11:15, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 11:20, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 11:25, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 11:30, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 11:35, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 11:40, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 11:45, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 11:50, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 11:55, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 12:00, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 12:05, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 12:10, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 12:15, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 12:20, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 12:25, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 12:30, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 12:35, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 12:40, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 12:45, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 12:50, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 12:55, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 13:00, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 13:05, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 13:10, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 13:15, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 13:20, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 13:25, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 13:30, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 13:35, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 13:40, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 13:45, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 13:50, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 13:55, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 14:00, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 14:05, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 14:10, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 14:15, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 14:20, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 14:25, Tipo de señal: Venta, Activo: CRYPTO IDX
